Ce_MX-MSN,Qe_MX-MSN,Ce_MX-MSN-SH,Qe_MX-MSN-SH,Ce_MX-Am-MSN,Qe_MX-Am-MSN
0.198483305,18.73107638,0.001,21.02059013,2.359457658,10.08717897
1.126211454,37.88043738,0.002,43.56997196,6.388601137,16.83087865
3.605676706,85.71933478,0.005,101.0175863,17.69124656,29.37705536
7.713302822,169.3591247,0.110168107,199.7716636,41.28539614,35.07075145
26.95677548,291.7705141,2.413080706,389.9452932,84.2250388,62.6974608
