Time,Qt_MX_MSN,Qt_MX_MSN_SH,Qt_MX_Am_MSN
10,129.0852474,179.7755338,18.19883154
20,137.7636923,182.6809119,18.62615474
30,141.3385443,183.6134116,19.41046881
60,143.3704818,183.6624558,18.58943014
75,143.320866,183.595527,19.03903775
150,139.8154735,179.2800308,15.64355682
