time,Qt_COOH,Qt_SH,Qt_MSN
5,6.362184604,2.215667938,1.375548187
10,6.516909756,2.215667938,1.082468713
15,7.00947514,2.77965614,1.135950369
30,7.643990204,3.02424286,0.708097123
60,7.808651832,3.342205597,1.300673869
90,8.122360624,3.242932163,1.73708418
120,8.46871784,3.07459895,1.210824687
150,7.494943044,2.035824761,1.226632758
