Ce_COOH,Qe_COOH,Ce_SH,Qe_SH,Ce_MSN,Qe_MSN
0.518250188,0.963499624,0.539154519,0.921690962,0.894528148,0.210943705
3.490494001,3.019011999,4.417858673,1.164282654,4.957849211,0.084301578
7.911090249,4.177819502,8.468671575,3.06265685,9.945165398,0.109669205
21.17641526,7.64716948,23.18369748,3.632605034,24.902816,0.194368006
45.45371345,9.092573092,47.12362777,5.752744464,49.73856306,0.522873882
