Time,Functional group,Dose,Initial_conc,pH,Removal_eff,pred_RForest_ALL,RForest_ALL,RForest_ALL,diff_Hot,diff_le,diff_le
15,MSN,0.5,20,6.56,31.11438671,31.99291544,31.69866727,31.69814972,0.878528733,0.584280562,0.583763013
30,MSN,0.5,20,6.56,37.90653118,39.19284969,44.05711991,44.05660236,1.286318512,6.150588725,6.150071176
60,MSN,0.5,20,6.56,41.27848805,41.57222917,43.42671072,43.44108671,0.293741125,2.148222666,2.162598665
90,MSN,0.5,20,6.56,43.41640578,44.61120706,46.90151218,46.91588817,1.19480128,3.485106396,3.499482394
120,MSN,0.5,20,6.56,45.21274609,47.58483652,48.39616379,48.47503582,2.372090426,3.183417701,3.262289733
150,MSN,0.5,20,6.56,42.3844468,47.36532548,50.38657919,50.38657919,4.980878679,8.002132395,8.002132395
5,SH,0.5,20,6.56,30.7392327,42.93217808,38.2447647,38.2447647,12.19294538,7.505531997,7.505531997
10,SH,0.5,20,6.56,39.25990442,46.87665082,40.47704512,40.47704512,7.616746396,1.217140704,1.217140704
15,SH,0.5,20,6.56,48.13331264,49.24813355,46.41133301,46.32017467,1.11482091,1.721979627,1.813137972
30,SH,0.5,20,6.56,61.64870802,60.35986361,62.18517084,61.90262463,1.288844413,0.536462824,0.253916613
60,SH,0.5,20,6.56,76.24148131,69.96311037,66.90651542,67.52838926,6.278370938,9.334965887,8.713092053
90,SH,0.5,20,6.56,83.57257381,78.34911909,75.69255672,76.31443055,5.223454722,7.880017092,7.258143259
120,SH,0.5,20,6.56,88.76958239,82.83061623,78.52794906,79.02370163,5.938966161,10.24163333,9.745880759
150,SH,0.5,20,6.56,91.36149852,85.27461485,82.319224,82.319224,6.08688367,9.042274516,9.042274516
5,COOH,0.5,20,6.56,81.93374924,74.96813456,75.53647812,75.53647812,6.965614683,6.397271122,6.397271122
10,COOH,0.5,20,6.56,85.6815085,80.18948901,81.02362845,81.02362845,5.49201949,4.657880047,4.657880047
15,COOH,0.5,20,6.56,88.15448824,77.32591261,79.36898474,79.36898474,10.82857563,8.785503502,8.785503502
30,COOH,0.5,20,6.56,90.58073246,79.76854487,77.76630575,77.76071642,10.81218759,12.81442671,12.82001604
60,COOH,0.5,20,6.56,92.51828041,87.88963181,87.54540761,87.57037104,4.628648601,4.972872798,4.947909368
90,COOH,0.5,20,6.56,92.24477725,88.16836484,89.2433128,89.26827623,4.076412414,3.001464445,2.976501015
120,COOH,0.5,20,6.56,93.54966519,91.0907822,90.01585566,90.04081909,2.45888299,3.533809533,3.508846103
150,COOH,0.5,20,6.56,92.912601,91.15675677,89.8429117,89.86787513,1.755844233,3.069689297,3.044725867
30,MSN,0.5,20,2.27,22.77167277,23.24273745,23.45379713,23.45379713,0.471064685,0.682124355,0.682124355
