Time,Functional group,Dose,Initial_conc,pH,Dye_type,Removal_eff
30,SH,0.5,20,2.27,CV,51.37362637
30,SH,0.5,20,3.34,CV,50.91830272
30,SH,0.5,20,4.53,CV,57.70503862
30,SH,0.5,20,7.32,CV,54.91562729
30,SH,0.5,20,8.26,CV,55.26524149
30,SH,0.5,20,9.29,CV,67.18417047
30,SH,0.5,20,10.69,CV,21.47570486
30,COOH,0.5,20,2.27,CV,12.85103785
30,COOH,0.5,20,3.34,CV,27.51741609
30,COOH,0.5,20,4.53,CV,53.73299007
30,COOH,0.5,20,7.32,CV,46.918562
30,COOH,0.5,20,8.26,CV,47.94140934
30,COOH,0.5,20,9.29,CV,57.32115677
30,COOH,0.5,20,10.69,CV,24.71505699
60,MSN,0.5,1,6.36,MO,10.54718523
60,MSN,0.5,5,6.36,MO,0.843015784
60,MSN,0.5,10,6.36,MO,0.548346025
60,MSN,0.5,25,6.36,MO,0.388736011
60,MSN,0.5,50,6.36,MO,0.522873882
60,SH,0.5,1,6.36,MO,46.08454808
60,SH,0.5,5,6.36,MO,11.64282654
60,SH,0.5,10,6.36,MO,15.31328425
60,SH,0.5,25,6.36,MO,7.265210067
60,SH,0.5,50,6.36,MO,5.752744464
60,COOH,0.5,1,6.36,MO,48.17498119
60,COOH,0.5,5,6.36,MO,30.19011999
60,COOH,0.5,10,6.36,MO,20.88909751
60,COOH,0.5,25,6.36,MO,15.29433896
60,COOH,0.5,50,6.36,MO,9.092573092
30,MSN,1,1,6.56,CV,100
30,MSN,1,5,6.56,CV,98.33290587
30,MSN,1,10,6.56,CV,94.47756024
30,MSN,1,25,6.56,CV,81.05044127
30,MSN,1,50,6.56,CV,56.06758007
30,SH,1,1,6.56,CV,100
30,SH,1,5,6.56,CV,98.87435525
30,SH,1,10,6.56,CV,95.98270281
30,SH,1,25,6.56,CV,88.91727057
30,SH,1,50,6.56,CV,62.13034495
30,COOH,1,1,6.56,CV,100
30,COOH,1,5,6.56,CV,98.89715312
30,COOH,1,10,6.56,CV,98.62267509
30,COOH,1,25,6.56,CV,91.30611562
30,COOH,1,50,6.56,CV,71.7700396
